created_at,credits_withdraw
2017-08,8316.0
2017-09,549.0
2017-10,3730.0
2017-11,15867.0
2017-12,6903.0
2018-01,683.0
2018-02,11285.0
2018-03,21770.0
2018-04,9770.0
2018-05,17658.0
2018-06,40343.0
2018-07,17838.0
2018-08,28679.0
2018-09,47231.0
2018-10,40679.0
2018-11,32308.0
2018-12,18901.0
2019-01,94096.0
2019-02,88565.0
2019-03,141952.0
2019-04,99362.0
2019-05,116825.0
2019-06,67525.0
2019-07,64419.0
2019-08,117808.0
2019-09,59012.0
2019-10,67787.0
2019-11,157597.0
2019-12,114626.0
2020-01,105830.0
2020-02,126905.0
2020-03,80491.0
2020-04,82408.0
2020-05,126486.0
2020-06,134356.0
2020-07,136264.0
2020-08,109792.0
2020-09,194564.0
2020-10,162258.0
2020-11,217624.0
2020-12,142030.0
2021-01,92836.0
2021-02,88285.0
2021-03,110282.0
2021-04,133043.0
2021-05,109435.0
2021-06,110576.0
2021-07,134118.0
2021-08,228313.0
2021-09,152142.0
2021-10,130624.0
2021-11,212881.0
2021-12,186583.0
2022-01,104263.0
2022-02,137934.0
2022-03,361419.0
2022-04,87108.0
2022-05,155831.0
2022-06,184272.0
2022-07,107091.0
2022-08,147524.0
2022-09,180011.0
2022-10,253865.0
2022-11,313337.0
2022-12,265041.0
2023-01,285206.0
2023-02,168996.0
2023-03,236289.0
2023-04,190117.0
2023-05,216000.0
2023-06,249778.0
2023-07,216169.0
2023-08,229056.0
2023-09,264162.0
2023-10,296012.0
2023-11,321037.0
2023-12,351533.0
2024-01,341691.0
2024-02,328908.0
2024-03,367675.0
2024-04,323965.0
2024-05,348874.0
2024-06,346910.0
2024-07,353660.0
2024-08,473080.0
2024-09,455863.0
2024-10,596613.0
2024-11,705266.0
2024-12,606000.0
2025-01,686135.0
2025-02,608861.0
2025-03,779949.0
2025-04,167542.0
